mood,tempo,genre,artist_type,durationSeg,top
10,0,4,0,190.0,0
11,1,4,2,0.0,0
6,1,4,1,231.0,1
2,2,8,0,229.0,1
3,1,8,0,190.0,0
21,1,8,1,235.0,1
2,1,8,0,187.0,1
7,1,4,2,249.0,0
6,1,4,2,252.0,1
3,1,8,2,189.0,0
5,1,8,1,183.0,0
22,1,7,0,0.0,0
6,0,4,0,346.0,1
3,1,8,0,256.0,0
7,1,4,0,225.0,0
3,1,7,0,60.0,0
11,2,8,0,182.0,0
2,1,4,0,299.0,1
16,1,8,1,202.0,0
5,1,7,0,220.0,0
22,1,7,0,278.0,0
16,2,8,1,234.0,1
2,1,8,0,321.0,0
15,1,7,0,194.0,0
20,1,7,2,0.0,0
16,2,4,1,252.0,1
22,1,7,0,183.0,0
22,1,4,0,211.0,0
5,2,7,0,160.0,0
2,1,4,0,222.0,1
6,1,3,0,187.0,1
2,1,8,0,244.0,0
3,1,0,1,194.0,0
3,0,0,0,198.0,0
2,2,8,0,237.0,0
7,1,4,0,215.0,1
20,1,7,0,259.0,0
1,1,0,0,201.0,0
0,1,1,0,195.0,0
5,1,4,1,259.0,1
5,2,4,0,219.0,0
6,1,8,0,249.0,1
16,1,8,0,187.0,0
7,1,8,2,0.0,0
5,2,4,1,316.0,0
2,2,8,2,384.0,1
9,1,7,0,230.0,0
5,1,7,0,5839.0,0
3,1,4,0,214.0,0
22,1,7,0,267.0,0
16,1,8,0,257.0,1
14,1,4,0,178.0,0
5,1,1,0,324.0,0
6,1,8,2,399.0,1
3,1,8,0,880.0,0
2,1,4,2,0.0,0
17,2,0,2,214.0,0
5,1,7,2,6840.0,0
22,1,4,0,236.0,0
6,1,4,1,290.0,0
11,1,4,0,248.0,0
6,1,4,0,197.0,0
7,1,1,1,227.0,0
6,1,4,1,205.0,1
22,1,7,0,0.0,0
21,1,0,0,202.0,0
5,1,4,1,238.0,0
11,1,5,0,206.0,0
21,0,0,2,241.0,0
16,1,8,0,0.0,0
16,1,8,0,214.0,0
5,1,7,0,266.0,0
15,1,7,0,211.0,0
3,1,4,0,231.0,0
16,1,0,0,147.0,0
5,2,7,1,3064.0,0
1,2,4,2,4.0,1
7,1,4,1,209.0,0
16,1,8,1,217.0,0
7,1,4,1,232.0,0
15,1,0,0,77.0,0
2,1,8,0,321.0,0
15,1,0,0,220.0,0
11,2,7,1,238.0,0
15,0,5,0,129.0,0
22,1,4,0,76.0,0
3,1,0,0,252.0,0
6,1,4,0,79.0,1
5,2,4,2,278.0,0
20,1,7,0,308.0,0
22,0,0,0,235.0,0
7,0,4,1,138.0,1
5,1,7,0,251.0,0
6,1,1,1,248.0,0
3,1,8,0,673.0,0
22,1,4,1,0.0,0
22,1,0,0,0.0,0
16,2,8,2,238.0,0
6,1,4,2,279.0,1
2,1,8,1,261.0,0
7,1,4,0,352.0,0
5,1,4,0,222.0,0
22,1,7,0,243.0,0
3,1,4,1,374.0,0
21,0,4,1,272.0,0
3,1,0,0,212.0,0
7,0,8,1,221.0,0
7,1,4,1,203.0,1
16,2,8,0,211.0,0
22,1,7,0,5434.0,0
5,1,5,0,0.0,0
22,1,8,0,201.0,0
1,1,0,0,212.0,1
2,1,8,0,260.0,1
20,1,7,1,334.0,0
6,1,8,0,237.0,1
5,1,1,1,209.0,0
7,0,8,1,212.0,0
7,0,6,2,278.0,0
7,0,4,1,207.0,0
16,1,8,0,205.0,1
3,1,8,0,145.0,0
6,1,8,2,3962.0,0
8,1,8,2,41.0,1
6,1,8,0,407.0,0
2,2,8,2,317.0,1
5,1,7,0,217.0,0
3,1,0,0,247.0,0
9,1,7,0,229.0,0
2,1,1,1,182.0,0
5,1,4,2,219.0,0
6,0,8,1,0.0,0
5,1,7,2,258.0,0
1,1,0,0,241.0,0
6,1,8,0,201.0,0
2,1,1,1,320.0,1
16,2,3,0,228.0,0
6,1,4,0,14.0,1
7,1,0,0,0.0,0
8,1,8,0,238.0,0
2,1,8,0,3662.0,1
22,1,7,2,1158.0,0
5,1,8,1,205.0,1
3,1,4,0,41.0,0
6,1,4,1,199.0,0
0,1,8,0,260.0,1
5,1,4,1,1351.0,0
5,2,1,1,301.0,0
22,1,0,0,235.0,0
16,2,8,0,231.0,0
2,1,8,0,227.0,0
6,1,8,0,259.0,1
6,1,4,0,297.0,0
6,1,4,0,226.0,1
20,1,7,1,212.0,0
6,0,8,0,243.0,1
9,1,4,1,200.0,0
3,2,8,0,152.0,1
2,1,8,0,357.0,0
3,1,4,1,77.0,1
20,1,7,0,267.0,0
5,1,7,0,235.0,0
16,1,8,0,198.0,1
6,1,1,1,255.0,0
22,1,0,0,523.0,0
7,1,8,0,541.0,0
5,1,7,1,205.0,1
18,1,4,0,223.0,1
22,1,7,0,206.0,0
3,1,5,0,235.0,0
2,1,8,2,41.0,1
7,1,4,1,252.0,1
22,1,4,1,124.0,1
3,1,8,0,163.0,0
22,1,7,0,220.0,0
7,1,8,0,258.0,0
16,1,8,0,239.0,0
5,2,7,0,208.0,0
7,1,4,2,235.0,1
3,1,8,0,211.0,0
16,1,8,0,309.0,1
6,1,8,0,238.0,0
3,1,8,0,284.0,0
3,1,4,1,255.0,0
5,1,8,2,174.0,1
22,1,7,0,659.0,0
7,0,0,0,1300.0,0
14,1,4,0,881.0,0
13,2,4,1,238.0,0
18,2,8,1,157.0,1
6,1,8,2,209.0,0
17,2,4,0,226.0,0
